label
component:interface:controller,Entry point for external requests (Web/API/CLI).
component:interface:presenter,Prepares data for display (MVP/MVVM).
component:interface:view,User interface representation.
component:interface:view_model,View-specific data model.
component:app:use_case,Single business use case (Clean/Hexagonal).
component:app:service,Application service coordinating multiple components.
component:app:flow_orchestrator,Orchestrates a sequence of multi-step processes.
component:app:transaction_manager,Unitary and transactional management of operations.
component:app:mapper,Conversion between models (Domain/DTO/Infra).
component:app:converter,Multi-format conversion or data restructuring.
component:domain:entity,Business entity.
component:domain:value_object,Business value object.
component:domain:aggregate_root,Entry point of a business aggregate.
component:domain:service,Business service without technical dependencies.
component:domain:rule,Simple encapsulated business rule.
component:domain:policy,Structuring business policy (multi-rules).
component:domain:specification,Complex boolean business specification.
component:data_access:repository,Abstraction for entity access.
component:data_access:gateway,Exit point to an external service.
component:data_access:mapper,Domain <-> Persistence/Transport conversion.
component:data_access:dto,Transfer object without business logic.
component:messaging:handler,Processes an incoming message/command/event.
component:messaging:publisher,Emits messages/events.
component:messaging:subscriber,Listens to external events.
component:messaging:bus,Routing bus (commands/requests/events).
construction:factory:abstract,Interface for object families.
construction:factory:method,Static method or class for instantiation.
construction:builder:fluent,Progressive construction of complex objects.
construction:builder:configurator,Adding configurations after construction.
construction:adapter:external,Adapter to external interface.
construction:adapter:internal,Adapter between internal components.
construction:transformer:data,Structural data conversion.
construction:transformer:view,Data transformation for display.
infrastructure:client:http,Wrapper for HTTP calls.
infrastructure:client:database,Database driver/connection wrapper.
infrastructure:client:queue,Message queue client (Kafka/RabbitMQ).
infrastructure:system:file_io,File access.
infrastructure:system:environment,Environment variable access.
infrastructure:logging:logger,Logging.
infrastructure:monitoring:metric,Metric collection.
infrastructure:security:token_handler,Token management.
infrastructure:security:authenticator,Identity verification.
infrastructure:security:authorizer,Permission verification.
infrastructure:cache:manager,Cache management.
infrastructure:configuration:loader,Configuration file loading.
infrastructure:configuration:model,Typed configuration model.
infrastructure:error:handler,Centralized error handling.
component:core:library,Low-level generic code, internal utility functions.
component:core:algorithm,Algorithm or data structure implementation.
component:core:utility,Generic internal non-business tools.
component:core:runtime_support,Components related to low-level operation (threads, memory, scheduling…).
utility:helper:string,String helpers.
utility:helper:date_time,Date/time helpers.
utility:helper:math,Math helpers.
utility:helper:component,Component utilities.
utility:converter:format,Format conversions (XML/JSON/etc.).
utility:validator:input,Raw data validation.
utility:validator:model,Domain integrity validation.
utility:serialization:serializer,Object serialization.
utility:serialization:deserializer,Object deserialization.
framework:internal:infrastructure,Internal code provided by a framework.
development:test:case,Unit/integration test class.
development:test:fixture,Test data/state.
development:test:mock,Simulated object for isolation.
